name,category,value
Housing/homelessness,percentage1,26
Housing/homelessness,percentage2,74
Health,percentage1,32
Health,percentage2,68
Crime,percentage1,3
Crime,percentage2,97
Childcare,percentage1,3
Childcare,percentage2,97
Pension age,percentage1,8
Pension age,percentage2,92
Immigration,percentage1,1
Immigration,percentage2,99
Jobs,percentage1,6
Jobs,percentage2,94
Climate change,percentage1,6
Climate change,percentage2,94
Taxation,percentage1,4
Taxation,percentage2,96
Brexit,percentage1,1
Brexit,percentage2,99
