Year,External debt stock,forex reserves,debt servicing (% of GDP)
1975,1290219777.00,173405883.90,14.94
1976,1493325017.00,275522172.40,14.81
1977,1658887244.00,525784882.90,20.45
1978,2173728428.00,368830302.00,13.97
1979,2720995168.00,668545448.80,18.37
1980,3386803514.00,538712188.80,21.03
1981,3228165912.00,262828031.50,26.97
1982,3367814484.00,248102847.30,30.48
1983,3628284466.00,406428158.50,33.77
1984,3511509910.00,414388462.00,34.80
1985,4181365916.00,416724735.10,38.67
1986,4603589574.00,444494690.20,35.61
1987,5783681917.00,294401562.80,39.77
1988,5809644179.00,296453946.20,38.99
1989,5889233568.00,316624628.70,36.64
1990,7055158929.00,236115155.40,35.41
1991,7453499318.00,145138376.10,32.61
1992,6898195692.00,79549253.40,31.14
1993,7111518961.00,436745056.00,17.06
1994,7124419831.00,588142007.20,20.56
1995,7309198401.00,384262966.10,25.26
1996,6813721635.00,775927062.20,22.39
1997,6465020215.00,811092756.20,15.56
1998,6823161839.00,783051364.30,14.85
1999,6524904618.00,791589617.80,15.83
2000,6147150098.00,897865882.00,21.02
2001,5495276586.00,1064987677.00,15.88
2002,6095869528.00,1068140537.00,16.35
2003,6715084651.00,1482117159.00,15.84
2004,6916593411.00,1519538697.00,8.28
2005,6501013209.00,1799087913.00,9.99
2006,6719657604.00,2416073243.00,7.14
2007,7576695048.00,3355419016.00,6.33
2008,7691776549.00,2878951355.00,4.89
2009,8585721249.00,3849500809.00,5.14
2010,8885235533.00,4320858499.00,4.41
2011,10042095566.00,4265145710.00,4.32
2012,11832175543.00,5711831325.00,4.65
2013,13775500739.00,6598881869.00,4.73
2014,16911742537.00,7874414432.00,11.36
2015,19783760502.00,7514864907.00,8.33
2016,21057671043.00,7553884913.00,11.17
2017,26951349499.00,7325420063.00,14.60
2018,31433802016.00,8164380806.00,23.70
2019,34970099590.00,9115806005.00,38.43
2020,38038451074.00,8297263559.00,28.75
2021,41219100012.00,9490896581.00,20.37
2022,41556299640.00,7969488013.00,23.67
2023,42910026054.00,7341776190.00,30.18
