Year,Current Account Balance,External debt stock,FDI net inflows,Foreign Reserves,IMF Credit,Multilateral debt,Personal remittances
1975,-214892885.00,1290219777.00,17158747.00,173405884.00,80251485.00,187125000.00,13200000.00
1976,-118502397.00,1493325017.00,46371851.00,275522172.00,98790405.00,264084000.00,9900000.00
1977,36730232.00,1658887244.00,56545226.00,525784883.00,64119682.00,313743000.00,18480000.00
1978,-659234149.00,2173728428.00,34414130.00,368830302.00,94041896.00,368253000.00,26400000.00
1979,-492791450.00,2720995168.00,84009903.00,668545449.00,188034367.00,422638000.00,19139999.00
1980,-876258181.00,3386803514.00,78973746.00,538712189.00,253896083.00,528280000.00,27719999.00
1981,-561591703.00,3228165912.00,14147557.00,262828032.00,258599036.00,585511132.00,78540001.00
1982,-305337920.00,3367814484.00,13000895.00,248102847.00,393464494.00,742262050.00,67980003.00
1983,-47252317.00,3628284466.00,23738843.00,406428159.00,464237305.00,840297772.00,58080002.00
1984,-126891624.00,3511509910.00,10753527.00,414388462.00,419810230.00,946066998.00,56759998.00
1985,-115018658.00,4181365916.00,28845949.00,416724735.00,521810030.00,1159344154.00,66000000.00
1986,-44990239.00,4603589574.00,32725777.00,444494690.00,459803182.00,1382122297.00,52139999.00
1987,-502051365.00,5783681917.00,39381344.00,294401563.00,401317634.00,1681416579.00,66000000.00
1988,-471288267.00,5809644179.00,394431.00,296453946.00,455445437.00,1645743712.00,76559998.00
1989,-590420206.00,5889233568.00,62189917.00,316624629.00,415432259.00,1782110348.00,89099999.00
1990,-527083700.00,7055158929.00,57081096.00,236115155.00,482115289.00,2056036019.00,139259995.00
1991,-213320796.00,7453499318.00,18830977.00,145138376.00,493272361.00,2153452067.00,124080002.00
1992,-180154267.00,6898195692.00,6363133.00,79549253.00,393368250.00,2066801000.00,114839996.00
1993,-261869236.00,7111518961.00,145655517.00,436745056.00,363089585.00,2197331000.00,118139999.00
1994,-448915490.00,7124419831.00,7432413.00,588142007.00,404747779.00,2290075000.00,137279999.00
1995,-1578240552.00,7309198401.00,42289248.00,384262966.00,373788319.00,2411887000.00,87497853.00
1996,-961189673.00,6813721635.00,108672932.00,775927062.00,337223196.00,2374843000.00,87542881.00
1997,-1790669371.00,6465020215.00,62096810.00,811092756.00,250423491.00,2245323000.00,506615137.00
1998,-2632734196.00,6823161839.00,26548246.00,783051364.00,196459615.00,2364431000.00,531912793.00
1999,-2365219130.00,6524904618.00,51953456.00,791589618.00,182248736.00,2310621000.00,584854297.00
2000,-199391622.00,6147150098.00,110904550.00,897865882.00,174880489.00,2309409000.00,537900024.00
2001,-320276834.00,5495276586.00,5302623.00,1064987677.00,145325744.00,2286842000.00,50914426.00
2002,-117669074.00,6095869528.00,27618447.00,1068140537.00,138136749.00,2459856000.00,57143480.00
2003,132419235.00,6715084651.00,81738243.00,1482117159.00,167284559.00,2741964000.00,65845295.00
2004,-131773011.00,6916593411.00,46063931.00,1519538697.00,160065635.00,2882726000.00,375811334.00
2005,-252316724.00,6501013209.00,21211685.00,1799087913.00,211650589.00,2663224000.00,424991046.00
2006,-510433478.00,6719657604.00,50674725.00,2416073243.00,208916028.00,2764089000.00,570459274.00
2007,-1032048241.00,7576695048.00,729044146.00,3355419016.00,327348788.00,2968119000.00,645207871.00
2008,-1982595677.00,7691776549.00,95585680.00,2878951355.00,308716316.00,3050475000.00,667317334.00
2009,-1688505911.00,8585721249.00,116257609.00,3849500809.00,857631721.00,3156096000.00,631460883.00
2010,-2368671950.00,8885235533.00,178064607.00,4320858499.00,816750541.00,3237614000.00,685757272.00
2011,-3819304011.00,10042095566.00,1450474757.00,4265145710.00,1099534525.00,3388428000.00,934149203.00
2012,-4216145263.00,11832175543.00,1380173662.00,5711831325.00,1292972531.00,3585785000.00,1211021439.00
2013,-4842146888.00,13775500739.00,1118825000.00,6598881869.00,1470879637.00,3982522000.00,1304277231.00
2014,-6377926517.00,16911742537.00,820937598.00,7874414432.00,1327897900.00,4199127000.00,1440846250.00
2015,-4420811285.00,19783760502.00,619724465.00,7514864907.00,1204763865.00,4381759000.00,1569267850.00
2016,-4037779793.00,21057671043.00,469533311.00,7553884913.00,1103364325.00,4567712000.00,1744639175.00
2017,-5739957846.00,26951349499.00,1346085345.00,7325420063.00,1046744358.00,5303104000.00,1962273106.00
2018,-4989164831.00,31433802016.00,767761507.00,8164380806.00,878613103.00,5801797000.00,2720366061.00
2019,-5258353851.00,34970099590.00,469940267.00,9115806005.00,719708169.00,7124964000.00,2838192215.00
2020,-3730512497.00,38038451074.00,-5403752.00,8297263559.00,1390662740.00,9333613000.00,3107932253.00
2021,-5596631178.00,41219100012.00,419719613.00,9490896581.00,2912915872.00,10228332000.00,3770089639.00
2022,-5889413352.00,41556299640.00,791581760.00,7969488013.00,3389104116.00,11052655000.00,4059710201.00
2023,-4317073674.00,42910026054.00,728766609.00,7341776190.00,3799188290.00,12464757000.00,4227611606.00
