Year,Current Account Balance,External debt stock,FDI net inflows,Foreign Reserves,IMF Credit,Multilateral debt,Personal remittances,GDP (constant LCU),GDP (current US$),GDP growth (annual %)
2002,-117669074,6095869528,27618447,1068140537,138136749,2459856000,57143480,3.95063E+12,12986007426,3.78
2003,132419235,6715084651,81738243,1482117159,167284559,2741964000,65845295,3.97224E+12,13147736899,0.55
2004,-131773011,6916593411,46063931,1519538697,160065635,2882726000,375811334,4.08872E+12,14904517650,2.93
2005,-252316724,6501013209,21211685,1799087913,211650589,2663224000,424991046,4.29742E+12,16095337094,5.1
2006,-510433478,6719657604,50674725,2416073243,208916028,2764089000,570459274,4.55126E+12,18737895513,5.91
2007,-1032048241,7576695048,729044146,3355419016,327348788,2968119000,645207871,4.84583E+12,25825512284,6.47
2008,-1982595677,7691776549,95585680,2878951355,308716316,3050475000,667317334,5.17781E+12,31958195182,6.85
2009,-1688505911,8585721249,116257609,3849500809,857631721,3156096000,631460883,5.18984E+12,35895153328,0.23
2010,-2368671950,8885235533,178064607,4320858499,816750541,3237614000,685757272,5.36146E+12,42347217913,3.31
2011,-3819304011,10042095566,1450474757,4265145710,1099534525,3388428000,934149203,5.79351E+12,45405615064,8.06
2012,-4216145263,11832175543,1380173662,5711831325,1292972531,3585785000,1211021439,6.09021E+12,46869473151,5.12
2013,-4842146888,13775500739,1118825000,6598881869,1470879637,3982522000,1304277231,6.36845E+12,56396704672,4.57
2014,-6377926517,16911742537,820937598,7874414432,1327897900,4199127000,1440846250,6.61031E+12,61671440408,3.8
2015,-4420811285,19783760502,619724465,7514864907,1204763865,4381759000,1569267850,6.94216E+12,68285796514,5.02
2016,-4037779793,21057671043,469533311,7553884913,1103364325,4567712000,1744639175,7.28702E+12,70120446897,4.97
2017,-5739957846,26951349499,1346085345,7325420063,1046744358,5303104000,1962273106,7.59406E+12,74815144164,4.21
2018,-4989164831,31433802016,767761507,8164380806,878613103,5801797000,2720366061,7.88552E+12,82036510877,3.84
2019,-5258353851,34970099590,469940267,9115806005,719708169,7124964000,2838192215,8.33089E+12,92202979985,5.65
2020,-3730512497,38038451074,-5403752,8297263559,1390662740,9333613000,3107932253,8.75695E+12,1.00378E+11,5.11
2021,-5596631178,41219100012,419719613,9490896581,2912915872,10228332000,3770089639,8.73306E+12,1.00658E+11,-0.27
2022,-5889413352,41556299640,791581760,7969488013,3389104116,11052655000,4059710201,9.39594E+12,1.09704E+11,7.59
2023,-4317073674,42910026054,728766609,7341776190,3799188290,12464757000,4227611606,9.85258E+12,1.14449E+11,4.86
