Country,ISO3,value,date
Zimbabwe,ZWE,2607.927678,01/01/2022
Zambia,ZMB,3975.600639,01/01/2022
West Bank and Gaza,PSE,6759.021598,01/01/2022
Viet Nam,VNM,13461.00897,01/01/2022
Vanuatu,VUT,3290.569371,01/01/2022
Uzbekistan,UZB,9535.669691,01/01/2022
Uruguay,URY,28851.54016,01/01/2022
United States,USA,76329.58227,01/01/2022
United Kingdom,GBR,57460.50575,01/01/2022
United Arab Emirates,ARE,88488.98461,01/01/2022
Ukraine,UKR,12675.43652,01/01/2022
Uganda,UGA,2693.108305,01/01/2022
Tuvalu,TUV,5423.048668,01/01/2022
Turks and Caicos Islands,TCA,24471.51787,01/01/2022
Turkiye,TUR,38355.15397,01/01/2022
Tunisia,TUN,12483.63069,01/01/2022
Trinidad and Tobago,TTO,27515.52642,01/01/2022
Tonga,TON,6778.503569,01/01/2021
Togo,TGO,2601.750009,01/01/2022
Timor-Leste,TLS,4657.382251,01/01/2022
Thailand,THA,20679.11948,01/01/2022
Tanzania,TZA,3099.17334,01/01/2022
Tajikistan,TJK,4886.743992,01/01/2022
Switzerland,CHE,90746.45328,01/01/2022
Sweden,SWE,68178.03037,01/01/2022
Suriname,SUR,17773.48396,01/01/2022
Sudan,SDN,4217.421875,01/01/2022
St. Vincent and the Grenadines,VCT,17212.4297,01/01/2022
St. Lucia,LCA,17835.69754,01/01/2022
St. Kitts and Nevis,KNA,33981.8396,01/01/2022
Sri Lanka,LKA,14410.18802,01/01/2022
Spain,ESP,48685.49631,01/01/2022
South Africa,ZAF,15920.42541,01/01/2022
Somalia,SOM,1710.962281,01/01/2022
Solomon Islands,SLB,2654.970328,01/01/2022
Slovenia,SVN,51281.85751,01/01/2022
Slovak Republic,SVK,41013.38981,01/01/2022
Sint Maarten (Dutch part),SXM,49540.86453,01/01/2022
Singapore,SGP,127606.8148,01/01/2022
Sierra Leone,SLE,1930.900727,01/01/2022
Seychelles,SYC,29771.74661,01/01/2022
Serbia,SRB,25061.84798,01/01/2022
Senegal,SEN,4210.359279,01/01/2022
Saudi Arabia,SAU,59279.89005,01/01/2022
Sao Tome and Principe,STP,4061.808081,01/01/2022
San Marino,SMR,67982.97051,01/01/2021
Samoa,WSM,6089.558852,01/01/2022
Rwanda,RWA,2793.185021,01/01/2022
Russian Federation,RUS,34637.76172,01/01/2022
Romania,ROU,43239.64299,01/01/2022
Qatar,QAT,114049.228,01/01/2022
Puerto Rico,PRI,40510.99243,01/01/2022
Portugal,PRT,44484.29744,01/01/2022
Poland,POL,46609.60626,01/01/2022
Philippines,PHL,10136.55271,01/01/2022
Peru,PER,15052.5031,01/01/2022
Paraguay,PRY,15982.60444,01/01/2022
Papua New Guinea,PNG,4432.789618,01/01/2022
Panama,PAN,39292.68751,01/01/2022
Palau,PLW,15572.7393,01/01/2021
Pakistan,PAK,6351.002523,01/01/2022
Oman,OMN,41738.16078,01/01/2022
Norway,NOR,121259.24,01/01/2022
North Macedonia,MKD,21304.46201,01/01/2022
Nigeria,NGA,5862.23507,01/01/2022
Niger,NER,1505.542648,01/01/2022
Nicaragua,NIC,6877.070832,01/01/2022
New Zealand,NZL,52547.01177,01/01/2022
Netherlands,NLD,74541.79924,01/01/2022
Nepal,NPL,4726.606504,01/01/2022
Nauru,NRU,13021.39887,01/01/2022
Namibia,NAM,11531.30052,01/01/2022
Myanmar,MMR,5019.739732,01/01/2022
Mozambique,MOZ,1477.3494,01/01/2022
Morocco,MAR,9547.664063,01/01/2022
Montenegro,MNE,28324.56869,01/01/2022
Mongolia,MNG,14260.30965,01/01/2022
Moldova,MDA,15719.23249,01/01/2022
"Micronesia, Fed. Sts.",FSM,3854.877001,01/01/2022
Mexico,MEX,23900.37992,01/01/2022
Mauritius,MUS,26979.05322,01/01/2022
Mauritania,MRT,6295.780998,01/01/2022
Marshall Islands,MHL,7092.027364,01/01/2022
Malta,MLT,58546.92442,01/01/2022
Mali,MLI,2518.947283,01/01/2022
Maldives,MDV,25124.60945,01/01/2022
Malaysia,MYS,33525.30125,01/01/2022
Malawi,MWI,1732.604111,01/01/2022
Madagascar,MDG,1774.656304,01/01/2022
"Macao SAR, China",MAC,61230.96247,01/01/2022
Luxembourg,LUX,146457.0205,01/01/2022
Lithuania,LTU,50968.93939,01/01/2022
Libya,LBY,23382.73241,01/01/2022
Liberia,LBR,1570.47438,01/01/2021
Lesotho,LSO,2646.175924,01/01/2022
Lebanon,LBN,14330.51563,01/01/2021
Latvia,LVA,41624.65676,01/01/2022
Lao PDR,LAO,9387.374412,01/01/2022
Kyrgyz Republic,KGZ,5988.60618,01/01/2022
Kuwait,KWT,58349.21141,01/01/2022
Kosovo,XKX,14971.15206,01/01/2022
"Korea, Rep.",KOR,51666.37504,01/01/2022
Kiribati,KIR,2365.509923,01/01/2022
Kenya,KEN,5765.819497,01/01/2022
Kazakhstan,KAZ,30820.08578,01/01/2022
Jordan,JOR,11209.89768,01/01/2022
Japan,JPN,46850.08439,01/01/2022
